kurskod,kursnamn,institution,amne,i_dalarna_excel_kurser,i_dalarna_excel_forskar,i_blomma_json,i_vault_aktiva,i_vault_nedlagda,kategori
JP2006,,,,0,0,1,0,1,blomma_historik_arkiverad
JP2007,,,,0,0,1,0,1,blomma_historik_arkiverad
JP2008,,,,0,0,0,0,1,enbart_nedlagd
JP2009,,,,0,0,1,0,1,blomma_historik_arkiverad
JP2010,,,,0,0,0,0,1,enbart_nedlagd
JP2011,,,,0,0,0,0,1,enbart_nedlagd
JP2012,,,,0,0,0,0,1,enbart_nedlagd
JP2013,Japanska: Modern och nutida litteratur,ISLL,JAA,1,0,1,1,0,triangulerad
JP2014,,,,0,0,0,0,1,enbart_nedlagd
KDA002,,,,0,0,0,0,1,enbart_nedlagd
KE0001,,,,0,0,0,0,1,enbart_nedlagd
KE0002,,,,0,0,0,0,1,enbart_nedlagd
KE0003,,,,0,0,0,0,1,enbart_nedlagd
KE0004,,,,0,0,0,0,1,enbart_nedlagd
KE0005,,,,0,0,0,0,1,enbart_nedlagd
KE1001,,,,0,0,0,0,1,enbart_nedlagd
KE1002,,,,0,0,0,0,1,enbart_nedlagd
KE1003,,,,0,0,0,0,1,enbart_nedlagd
KE1004,,,,0,0,0,0,1,enbart_nedlagd
KE1005,,,,0,0,0,0,1,enbart_nedlagd
KE1006,,,,0,0,0,0,1,enbart_nedlagd
KE1007,,,,0,0,0,0,1,enbart_nedlagd
KE1008,,,,0,0,0,0,1,enbart_nedlagd
KE1009,,,,0,0,0,0,1,enbart_nedlagd
KE1010,,,,0,0,0,0,1,enbart_nedlagd
KE1011,,,,0,0,0,0,1,enbart_nedlagd
KE2001,,,,0,0,0,0,1,enbart_nedlagd
KE2002,,,,0,0,0,0,1,enbart_nedlagd
KE2003,,,,0,0,0,0,1,enbart_nedlagd
KE2004,,,,0,0,0,0,1,enbart_nedlagd
KEA001,,,,0,0,0,0,1,enbart_nedlagd
KEA004,,,,0,0,0,0,1,enbart_nedlagd
KEA005,,,,0,0,0,0,1,enbart_nedlagd
KEA008,,,,0,0,0,0,1,enbart_nedlagd
KEA015,,,,0,0,0,0,1,enbart_nedlagd
KEA022,,,,0,0,0,0,1,enbart_nedlagd
KEA023,,,,0,0,0,0,1,enbart_nedlagd
KEA024,,,,0,0,0,0,1,enbart_nedlagd
KEA025,,,,0,0,0,0,1,enbart_nedlagd
KEA026,,,,0,0,0,0,1,enbart_nedlagd
KEA027,,,,0,0,0,0,1,enbart_nedlagd
KEA028,,,,0,0,0,0,1,enbart_nedlagd
KEA029,,,,0,0,0,0,1,enbart_nedlagd
KEA030,,,,0,0,0,0,1,enbart_nedlagd
KEA031,,,,0,0,0,0,1,enbart_nedlagd
KEA032,,,,0,0,0,0,1,enbart_nedlagd
KEA033,,,,0,0,0,0,1,enbart_nedlagd
KEA034,,,,0,0,0,0,1,enbart_nedlagd
KEA035,,,,0,0,0,0,1,enbart_nedlagd
KEA036,,,,0,0,0,0,1,enbart_nedlagd
KEA037,,,,0,0,0,0,1,enbart_nedlagd
KEB001,,,,0,0,0,0,1,enbart_nedlagd
KEB002,,,,0,0,0,0,1,enbart_nedlagd
KEC001,,,,0,0,0,0,1,enbart_nedlagd
KEX004,,,,0,0,0,0,1,enbart_nedlagd
KEX006,,,,0,0,0,0,1,enbart_nedlagd
KEX007,,,,0,0,0,0,1,enbart_nedlagd
KEX008,,,,0,0,0,0,1,enbart_nedlagd
KEX009,,,,0,0,0,0,1,enbart_nedlagd
KG1001,,,,0,0,0,0,1,enbart_nedlagd
KG1002,,,,0,0,0,0,1,enbart_nedlagd
KG1003,,,,0,0,0,0,1,enbart_nedlagd
KG1004,,,,0,0,0,0,1,enbart_nedlagd
KG1005,Fysisk och lokal planering,IKS,KGA,1,0,1,1,0,triangulerad
KG1006,,,,0,0,0,0,1,enbart_nedlagd
KG1007,,,,0,0,0,0,1,enbart_nedlagd
KG1008,,,,0,0,0,0,1,enbart_nedlagd
KG1009,,,,0,0,0,0,1,enbart_nedlagd
KG1010,Introduktion till Geografiska Informations System (GIS),IKS,KGA,1,0,1,1,0,triangulerad
KG1011,,,,0,0,0,0,1,enbart_nedlagd
KG1012,,,,0,0,0,0,1,enbart_nedlagd
KG1013,,,,0,0,0,0,1,enbart_nedlagd
KG1014,,,,0,0,0,0,1,enbart_nedlagd
KG1015,,,,0,0,0,0,1,enbart_nedlagd
KG1016,Mobility and Travel Behaviour,IKS,KGA,1,0,1,1,0,triangulerad
KG1017,,,,0,0,0,0,1,enbart_nedlagd
KG1018,,,,0,0,0,0,1,enbart_nedlagd
KG1019,,,,0,0,0,0,1,enbart_nedlagd
KG1020,GIS som analysverktyg,IKS,KGA,1,0,1,1,0,triangulerad
KG1021,Mobilitet och resvanor,IKS,KGA,1,0,1,1,0,triangulerad
KG1022,Lokaliseringsanalys och destinationsutveckling,IKS,KGA,1,0,1,1,0,triangulerad
KG1023,,,,0,0,0,0,1,enbart_nedlagd
KG1024,Befolkningsgeografi och marknader för turism,IKS,KGA,1,0,1,1,0,triangulerad
KG1025,Turismen i den globala ekonomin,IKS,KGA,1,0,1,1,0,triangulerad
KG1026,,,,0,0,0,0,1,enbart_nedlagd
KG1027,Introduktion till Geografiska Informations System (GIS),IKS,KGA,1,0,1,1,0,triangulerad
KG1028,,,,0,0,0,0,1,enbart_nedlagd
KG1029,,,,0,0,0,0,1,enbart_nedlagd
